,b,ep_id,g,r,src,step,type
57,0.07129339873790741,0,0.007086871191859245,0.46405789256095886,sim,57,b2r
58,0.06830285489559174,0,0.006790819577872753,0.4654456377029419,sim,58,b2r
59,0.06550523638725281,0,0.0065111806616187096,0.46721386909484863,sim,59,b2r
60,0.10012026131153107,0,0.07997706532478333,0.7997710704803467,sim,0,r2b
61,0.11680865287780762,0,0.07668852806091309,0.7660965323448181,sim,1,r2b
62,0.13285528123378754,0,0.07353097200393677,0.734514057636261,sim,2,r2b
63,0.14811445772647858,0,0.07047370821237564,0.7040049433708191,sim,3,r2b
64,0.16258852183818817,0,0.06751399487257004,0.6745437979698181,sim,4,r2b
65,0.17673733830451965,0,0.06471555680036545,0.6469420790672302,sim,5,r2b
66,0.19019709527492523,0,0.06199240684509277,0.61982262134552,sim,6,r2b
67,0.20308779180049896,0,0.05940680205821991,0.5943053364753723,sim,7,r2b
68,0.21537986397743225,0,0.05691703408956528,0.5693107843399048,sim,8,r2b
69,0.22726064920425415,0,0.054578520357608795,0.5460769534111023,sim,9,r2b
70,0.23850618302822113,0,0.052298951894044876,0.5232834219932556,sim,10,r2b
71,0.24940000474452972,0,0.05011700466275215,0.5016564726829529,sim,11,r2b
72,0.25988826155662537,0,0.04800889641046524,0.4808350205421448,sim,12,r2b
73,0.2697802782058716,0,0.04603847861289978,0.46089988946914673,sim,13,r2b
74,0.27939367294311523,0,0.04413183778524399,0.4416310489177704,sim,14,r2b
75,0.2887322008609772,0,0.04228962957859039,0.42337843775749207,sim,15,r2b
76,0.29729101061820984,0,0.040514737367630005,0.4057336747646332,sim,16,r2b
77,0.30570200085639954,0,0.038805603981018066,0.38887450098991394,sim,17,r2b
78,0.31359249353408813,0,0.03722592815756798,0.37303146719932556,sim,18,r2b
